# Symbol: GC1!
# Timestamp: 2025-12-20T16:25:56.148051
# Mean: 4325.41875
# Std: 24.86803933928763
# Window Size: 112
,original_price,normalized
0,4305.5,-0.8009779029314665
1,4301.9,-0.945742029724242
2,4302.0,-0.941720803979984
3,4301.1,-0.9779118356781596
4,4302.0,-0.941720803979984
5,4304.0,-0.8612962890951169
6,4304.6,-0.8371689346296421
7,4299.8,-1.0301877703533306
8,4300.6,-0.9980179643993764
9,4300.2,-1.0141028673763717
10,4299.5,-1.042251447586068
11,4302.3,-0.9296571267472467
12,4302.7,-0.9135722237702878
13,4302.3,-0.9296571267472467
14,4302.1,-0.937699578235726
15,4301.3,-0.9698693841896802
16,4300.5,-1.0020391901436343
17,4300.5,-1.0020391901436343
18,4299.4,-1.046272673330326
19,4298.9,-1.0663788020515428
20,4298.7,-1.0744212535400222
21,4299.1,-1.0583363505630268
22,4297.3,-1.1307184139594144
23,4298.5,-1.0824637050285015
24,4298.1,-1.0985486080054603
25,4298.8,-1.0704000277957642
26,4299.3,-1.0502938990745474
27,4297.4,-1.126697188215193
28,4298.3,-1.090506156516981
29,4299.0,-1.0623575763072848
30,4300.6,-0.9980179643993764
31,4302.5,-0.9216146752587673
32,4303.9,-0.8653175148393749
33,4305.0,-0.8210840316526833
34,4308.5,-0.6803411306041658
35,4308.7,-0.6722986791156864
36,4308.2,-0.6924048078369032
37,4308.6,-0.6763199048599078
38,4308.7,-0.6722986791156864
39,4309.8,-0.6280651959289948
40,4308.7,-0.6722986791156864
41,4309.0,-0.660235001882949
42,4308.3,-0.6883835820926452
43,4309.3,-0.6481713246502115
44,4309.6,-0.6361076474174742
45,4311.6,-0.555683132532607
46,4310.7,-0.5918741642308192
47,4310.6,-0.5958953899750407
48,4311.3,-0.5677468097653444
49,4312.9,-0.5034071978574727
50,4312.9,-0.5034071978574727
51,4313.6,-0.4752586176477399
52,4313.5,-0.47927984339199786
53,4318.0,-0.2983246849010468
54,4317.0,-0.33853694234348036
55,4316.0,-0.3787491997859139
56,4315.5,-0.39885532850713074
57,4316.4,-0.3626642968089551
58,4319.7,-0.22996384724891702
59,4316.5,-0.35864307106469717
60,4318.0,-0.2983246849010468
61,4318.1,-0.2943034591567888
62,4316.9,-0.34255816808773837
63,4317.6,-0.3144095878780056
64,4321.3,-0.16562423534100867
65,4322.7,-0.1093270749216163
66,4324.4,-0.04096623726948652
67,4322.0,-0.1374756551313125
68,4324.0,-0.05705114024644532
69,4325.0,-0.016838882804011746
70,4327.3,0.0756493093135928
71,4329.9,0.18020117866389815
72,4334.8,0.3772412401318446
73,4336.6,0.4496233035282324
74,4339.3,0.5581963986227957
75,4339.1,0.5501539471343163
76,4344.3,0.7592576858349636
77,4343.8,0.7391515571137468
78,4348.5,0.9281491670931773
79,4347.0,0.8678307809295269
80,4349.0,0.9482552958143942
81,4345.1,0.7914274917889178
82,4340.0,0.5863449788324919
83,4341.5,0.6466633649961423
84,4343.6,0.7311091056252674
85,4347.2,0.8758732324180064
86,4350.6,1.0125949077223024
87,4350.3,1.000531230489565
88,4348.9,0.9442340700701362
89,4349.6,0.9723826502798689
90,4352.6,1.0930194226071697
91,4352.6,1.0930194226071697
92,4355.1,1.1935500662132537
93,4351.1,1.0327010364435192
94,4357.0,1.2699533553538627
95,4358.5,1.3302717415175132
96,4363.2,1.5192693514969435
97,4367.1,1.6760971555224564
98,4365.7,1.6197999951030275
99,4365.1,1.5956726406375894
100,4367.9,1.7082669614763741
101,4370.5,1.8128188308267161
102,4370.4,1.8087976050824581
103,4372.3,1.8852008942231038
104,4370.8,1.8248825080594535
105,4370.8,1.8248825080594535
106,4369.7,1.7806490248727618
107,4367.9,1.7082669614763741
108,4370.7,1.8208612823151955
109,4373.2,1.9213919259212793
110,4372.8,1.9053070229443205
111,4374.2,1.961604183363713
