datetime,symbol,open,high,low,close,volume
2025-05-20 16:00:00+00:00,COMEX:GC1!,3279.4,3285.4,3278.2,3282.0,6341.0
2025-05-20 17:00:00+00:00,COMEX:GC1!,3281.8,3291.2,3281.2,3289.4,7009.0
2025-05-20 18:00:00+00:00,COMEX:GC1!,3289.6,3293.0,3287.3,3290.5,5208.0
2025-05-20 19:00:00+00:00,COMEX:GC1!,3290.5,3298.1,3290.0,3296.8,6321.0
2025-05-20 20:00:00+00:00,COMEX:GC1!,3296.7,3298.5,3291.5,3292.6,3821.0
2025-05-20 22:00:00+00:00,COMEX:GC1!,3293.0,3307.9,3291.9,3300.2,8183.0
2025-05-20 23:00:00+00:00,COMEX:GC1!,3300.0,3300.2,3292.2,3293.9,4147.0
2025-05-21 00:00:00+00:00,COMEX:GC1!,3294.0,3306.9,3292.2,3305.9,7142.0
2025-05-21 01:00:00+00:00,COMEX:GC1!,3305.7,3316.8,3287.0,3296.8,20152.0
2025-05-21 02:00:00+00:00,COMEX:GC1!,3296.6,3307.4,3291.1,3304.3,10911.0
2025-05-21 03:00:00+00:00,COMEX:GC1!,3304.2,3311.3,3301.5,3309.3,5062.0
2025-05-21 04:00:00+00:00,COMEX:GC1!,3309.1,3310.1,3303.4,3304.2,4001.0
2025-05-21 05:00:00+00:00,COMEX:GC1!,3304.2,3321.4,3300.4,3318.2,9240.0
2025-05-21 06:00:00+00:00,COMEX:GC1!,3317.9,3322.5,3312.5,3321.9,9362.0
2025-05-21 07:00:00+00:00,COMEX:GC1!,3321.6,3321.6,3309.6,3311.8,7428.0
2025-05-21 08:00:00+00:00,COMEX:GC1!,3311.9,3314.2,3305.7,3310.7,5124.0
2025-05-21 09:00:00+00:00,COMEX:GC1!,3310.5,3315.8,3309.2,3315.6,5129.0
2025-05-21 10:00:00+00:00,COMEX:GC1!,3316.0,3320.5,3310.8,3314.2,5834.0
2025-05-21 11:00:00+00:00,COMEX:GC1!,3314.3,3318.6,3308.8,3313.3,7226.0
2025-05-21 12:00:00+00:00,COMEX:GC1!,3313.4,3314.8,3291.5,3304.3,17822.0
2025-05-21 13:00:00+00:00,COMEX:GC1!,3304.6,3311.8,3297.3,3306.1,17904.0
2025-05-21 14:00:00+00:00,COMEX:GC1!,3306.0,3310.8,3297.3,3306.8,13913.0
2025-05-21 15:00:00+00:00,COMEX:GC1!,3306.8,3317.9,3305.7,3313.8,9718.0
2025-05-21 16:00:00+00:00,COMEX:GC1!,3313.9,3317.1,3304.7,3305.2,6383.0
2025-05-21 17:00:00+00:00,COMEX:GC1!,3305.2,3318.9,3304.9,3318.8,10901.0
2025-05-21 18:00:00+00:00,COMEX:GC1!,3318.8,3319.0,3314.2,3316.5,4094.0
2025-05-21 19:00:00+00:00,COMEX:GC1!,3316.6,3327.2,3316.6,3320.9,7483.0
2025-05-21 20:00:00+00:00,COMEX:GC1!,3320.8,3322.3,3315.2,3316.6,2811.0
2025-05-21 22:00:00+00:00,COMEX:GC1!,3318.0,3322.2,3316.3,3319.4,2410.0
